id,course,slide,image_index,title,record_type,image_path,year_creation,period_creation,author,production_place,region,style,material,historical_background_zh,historical_background_en,historical_background_sources,study_description,raw_slide_text
africa-s001-i01,Arts of Africa (Met Visit),1,1,Parsons Cooper Hewitt,reference,assets/africa/s001_i01.jpeg,N/A (reference),N/A (reference),Africa artist,Africa,Africa,African Art,Not stated in source slide.,当下的理解方式受到博物馆收藏与陈列框架的影响。 风格语境：African Art。 地域语境：Africa。,Current understanding is shaped by museum collection and display frameworks. Style context: African Art. Regional context: Africa.,,"材质：Not stated in source slide.。时期：N/A (reference)。历史背景：当下的理解方式受到博物馆收藏与陈列框架的影响。 风格语境：African Art。 地域语境：Africa。
Material: Not stated in source slide.. Period: N/A (reference). Historical background: Current understanding is shaped by museum collection and display frameworks. Style context: African Art. Regional context: Africa.","Parsons Cooper Hewitt 2026 Alisa LaGamma, PhD Ceil and Michael E. Pulitzer Curator Arts of Sub-Saharan Africa Curator in Charge, The Michael C. Rockefeller Wing The Metropolitan Museum of Art"
africa-s002-i01,Arts of Africa (Met Visit),2,1,Arts of Africa (Met Visit) - Slide 2 Image 1,reference,assets/africa/s002_i01.jpeg,N/A (reference),N/A (reference),Sub-Saharan Africa artist,Sub-Saharan Africa,Sub-Saharan Africa,African Art,Not stated in source slide.,常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Sub-Saharan Africa。,"Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Sub-Saharan Africa.",,"材质：Not stated in source slide.。时期：N/A (reference)。历史背景：常与非洲语境中的仪式权力、宫廷文化、社会记忆，以及后期博物馆收藏史相关。 风格语境：African Art。 地域语境：Sub-Saharan Africa。
Material: Not stated in source slide.. Period: N/A (reference). Historical background: Often linked to ritual authority, court culture, social memory, and later museum collection histories in African contexts. Style context: African Art. Regional context: Sub-Saharan Africa.",
africa-s004-i01,Arts of Africa (Met Visit),4,1,"Dogon Seated Couple ""Barnes Foundation Master"" 18th–early",artwork,assets/africa/s004_i01.jpeg,c. 18th-early 19th century,18th-early 19th century,Africa artist,Africa,Africa,African Art,"Copper, Iron alloy, Wood",多贡成对雕像常与血缘、社会互补关系及仪式权力相关，并体现马里地区鲜明的雕刻传统。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Dogon couple sculptures are often interpreted through themes of lineage, social complementarity, and ritual authority, with strong regional sculptural identities in Mali. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",https://www.metmuseum.org/art/collection/search/310325,"材质：Copper, Iron alloy, Wood。时期：18th-early 19th century。历史背景：多贡成对雕像常与血缘、社会互补关系及仪式权力相关，并体现马里地区鲜明的雕刻传统。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Copper, Iron alloy, Wood. Period: 18th-early 19th century. Historical background: Dogon couple sculptures are often interpreted through themes of lineage, social complementarity, and ritual authority, with strong regional sculptural identities in Mali. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Dogon Seated Couple ""Barnes Foundation Master"" 18th–early 19th century Dogon peoples Wood, copper and iron alloy, applied organic materials"
africa-s005-i01,Arts of Africa (Met Visit),5,1,"Mother and Child, 15th–",artwork,assets/africa/s005_i01.jpeg,c. 15th-20th century,15th-20th century,Mali artist,Mali,Africa,African Art,Wood,根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",,"材质：Wood。时期：15th-20th century。历史背景：根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Wood. Period: 15th-20th century. Historical background: Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Mother and Child, 15th–20th century, Mali, Bougouni or Dioila region, Bamana peoples, wood,"
africa-s006-i01,Arts of Africa (Met Visit),6,1,"Dogon Blacksmith ( Tintam village) Mali Priest with raised arms, 14 th -17 th century Wood, applied organic materials Th",artwork,assets/africa/s006_i01.jpeg,c. 14th -17th century,14th -17th century,Mali artist,Mali,Africa,African Art,Wood,当下的理解方式受到博物馆收藏与陈列框架的影响。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Current understanding is shaped by museum collection and display frameworks. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",,"材质：Wood。时期：14th -17th century。历史背景：当下的理解方式受到博物馆收藏与陈列框架的影响。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Wood. Period: 14th -17th century. Historical background: Current understanding is shaped by museum collection and display frameworks. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Dogon Blacksmith ( Tintam village) Mali Priest with raised arms, 14 th -17 th century Wood, applied organic materials The Met"
africa-s007-i01,Arts of Africa (Met Visit),7,1,Power Figure ( Nkisi N'Kondi : Mangaaka,artwork,assets/africa/s007_i01.jpeg,2008,19th century,Kongo artist,Democratic Republic of the Congo / Republic of the Congo / Angola,Africa,African Art,"Wood, Resin, Paint",刚果权力雕像（nkisi nkondi）通过嵌入材料激活灵力，用于誓约、纠纷调解与护佑，兼具法律与宗教功能。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Kongo power figures (nkisi nkondi) activated spiritual force through inserted materials and were used in oath-taking, conflict mediation, and protection in community legal-spiritual life. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",https://www.metmuseum.org/art/collection/search/321109,"材质：Wood, Resin, Paint。时期：19th century。历史背景：刚果权力雕像（nkisi nkondi）通过嵌入材料激活灵力，用于誓约、纠纷调解与护佑，兼具法律与宗教功能。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Wood, Resin, Paint. Period: 19th century. Historical background: Kongo power figures (nkisi nkondi) activated spiritual force through inserted materials and were used in oath-taking, conflict mediation, and protection in community legal-spiritual life. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Left: Power Figure ( Nkisi N'Kondi : Mangaaka ) 19th century Kongo artist, Yombe group; Democratic Republic of the Congo, Republic of the Congo, or Cabinda, Angola, Chiloango River region Wood, paint, metal, resin, ceramic, H. 46 7/16 in. (118 cm) MMA, Lila Acheson Wallace, Drs. Daniel and Marian Malcolm, Laura G. and James J. Ross, Jeffrey B. Soref , The Robert T. Wall Family, Dr. and Mrs. Sidney G. Clyman , and Steven Kossak Gifts, 2008 (2008.30)"
africa-s008-i01,Arts of Africa (Met Visit),8,1,"Mangaaka ), detail of slide before",artwork,assets/africa/s008_i01.jpeg,2008,19th century,Kongo artist,Democratic Republic of the Congo / Republic of the Congo / Angola,Africa,African Art,"Wood, Resin, Paint",刚果权力雕像（nkisi nkondi）通过嵌入材料激活灵力，用于誓约、纠纷调解与护佑，兼具法律与宗教功能。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Kongo power figures (nkisi nkondi) activated spiritual force through inserted materials and were used in oath-taking, conflict mediation, and protection in community legal-spiritual life. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",https://www.metmuseum.org/art/collection/search/321109,"材质：Wood, Resin, Paint。时期：19th century。历史背景：刚果权力雕像（nkisi nkondi）通过嵌入材料激活灵力，用于誓约、纠纷调解与护佑，兼具法律与宗教功能。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Wood, Resin, Paint. Period: 19th century. Historical background: Kongo power figures (nkisi nkondi) activated spiritual force through inserted materials and were used in oath-taking, conflict mediation, and protection in community legal-spiritual life. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Power Figure ( Nkisi N'Kondi : Mangaaka ), detail of slide before 19th century Kongo artist, Yombe group; Democratic Republic of the Congo, Republic of the Congo, or Cabinda, Angola, Chiloango River region Wood, paint, metal, resin, ceramic, H. 46 7/16 in. (118 cm) MMA, Purchase, Lila Acheson Wallace, Drs. Daniel and Marian Malcolm, Laura G. and James J. Ross, Jeffrey B. Soref , The Robert T. Wall Family, Dr. and Mrs. Sidney G. Clyman , and Steven Kossak Gifts, 2008 (2008.30)"
africa-s009-i01,Arts of Africa (Met Visit),9,1,Royal Couple Late 19th–early,artwork,assets/africa/s009_i01.jpeg,2014,19th-early 20th century,Bamileke artist,Cameroon,Africa,African Art,"Wood, Glass beads, Cowrie shells, Cloth/Textile",根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。,"Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.",,"材质：Wood, Glass beads, Cowrie shells, Cloth/Textile。时期：19th-early 20th century。历史背景：根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa。
Material: Wood, Glass beads, Cowrie shells, Cloth/Textile. Period: 19th-early 20th century. Historical background: Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa.","Bansoa Throne: Royal Couple Late 19th–early 20th century Bamileke artist, Chiefdom of Bansoa; Cameroon, Grassfields region Wood, glass beads, cloth, cowrie shells, H. 63 in. (160 cm) MMA, Purchase, Rogers Fund, Andrea Bollt Bequest, in memory of Robert Bollt Sr. and Robert Bollt Jr., and Laura and James J. Ross and Anonymous Gifts, 2014 (2014.256) SEE https://www.metmuseum.org/art/collection/search/635680?ft=beaded+throne&amp;offset=0&amp;rpp=40&amp;pos=8"
africa-s010-i01,Arts of Africa (Met Visit),10,1,Iyoba,artwork,assets/africa/s010_i01.png,1910,16th century,Edo artist,Nigeria / Benin / London,Africa / Britain,African Art,"Copper, Iron, Ivory",贝宁王国的象牙母后挂饰（iyoba）关联宫廷权力与王朝记忆，也常在当代被置于殖民收藏史与全球博物馆展示史中讨论。 当下的理解方式受到博物馆收藏与陈列框架的影响。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa / Britain。,"Benin ivory pendant masks (iyoba) relate to royal court authority and memory politics, and are often discussed today within histories of colonial collecting and global museum display. Current understanding is shaped by museum collection and display frameworks. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa / Britain.",https://www.metmuseum.org/art/collection/search/318622 | https://www.britishmuseum.org/collection/object/E_Af1910-0513-1,"材质：Copper, Iron, Ivory。时期：16th century。历史背景：贝宁王国的象牙母后挂饰（iyoba）关联宫廷权力与王朝记忆，也常在当代被置于殖民收藏史与全球博物馆展示史中讨论。 当下的理解方式受到博物馆收藏与陈列框架的影响。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa / Britain。
Material: Copper, Iron, Ivory. Period: 16th century. Historical background: Benin ivory pendant masks (iyoba) relate to royal court authority and memory politics, and are often discussed today within histories of colonial collecting and global museum display. Current understanding is shaped by museum collection and display frameworks. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa / Britain.","Pendant Mask 16th century Edo artist; Nigeria, Court of Benin Ivory, iron, copper, 9 5/8 x 4 7/8 x 2 3/8 in. (24.5 x 12.5 x 6cm) The British Museum, London (AOA 1910.5-13.1) Queen Mother Pendant Mask: Iyoba 16th century Edo artist; Nigeria, Court of Benin Ivory, iron, copper (?), H. 9 3/8 x W. 5 x D. 3 1/4 in. (23.8 x 12.7 x 8.3 cm) MMA, The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972 (1978.412.323)"
africa-s010-i02,Arts of Africa (Met Visit),10,2,Iyoba,artwork,assets/africa/s010_i02.jpeg,1910,16th century,Edo artist,Nigeria / Benin / London,Africa / Britain,African Art,"Copper, Iron, Ivory",贝宁王国的象牙母后挂饰（iyoba）关联宫廷权力与王朝记忆，也常在当代被置于殖民收藏史与全球博物馆展示史中讨论。 当下的理解方式受到博物馆收藏与陈列框架的影响。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa / Britain。,"Benin ivory pendant masks (iyoba) relate to royal court authority and memory politics, and are often discussed today within histories of colonial collecting and global museum display. Current understanding is shaped by museum collection and display frameworks. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa / Britain.",https://www.metmuseum.org/art/collection/search/318622 | https://www.britishmuseum.org/collection/object/E_Af1910-0513-1,"材质：Copper, Iron, Ivory。时期：16th century。历史背景：贝宁王国的象牙母后挂饰（iyoba）关联宫廷权力与王朝记忆，也常在当代被置于殖民收藏史与全球博物馆展示史中讨论。 当下的理解方式受到博物馆收藏与陈列框架的影响。 根植于非洲特定族群的仪式、宫廷或社区语境，早于现代博物馆展示体系。 风格语境：African Art。 地域语境：Africa / Britain。
Material: Copper, Iron, Ivory. Period: 16th century. Historical background: Benin ivory pendant masks (iyoba) relate to royal court authority and memory politics, and are often discussed today within histories of colonial collecting and global museum display. Current understanding is shaped by museum collection and display frameworks. Rooted in specific African ritual, court, or community contexts before modern museum display. Style context: African Art. Regional context: Africa / Britain.","Pendant Mask 16th century Edo artist; Nigeria, Court of Benin Ivory, iron, copper, 9 5/8 x 4 7/8 x 2 3/8 in. (24.5 x 12.5 x 6cm) The British Museum, London (AOA 1910.5-13.1) Queen Mother Pendant Mask: Iyoba 16th century Edo artist; Nigeria, Court of Benin Ivory, iron, copper (?), H. 9 3/8 x W. 5 x D. 3 1/4 in. (23.8 x 12.7 x 8.3 cm) MMA, The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972 (1978.412.323)"
