global_row_index,id,title,confirmed_year_expr,historical_background_zh,historical_background_en,sources,source_count,status,status_detail,notes
3,africa-s004-i01,"Dogon Seated Couple ""Barnes Foundation Master"" 18th–early",c. 18th-early 19th c,"该展品在课程中对应为“Dogon Seated Couple ""Barnes Foundation Master"" 18th–early”，材质为Copper, Iron alloy, Wood，作品生产时期记作c. 18th-early 19th c，并与Africa相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《""Barnes Foundation Master"" - Seated couple - Dogon peoples》，用于确认该件作品的对象层级信息与收藏/研究语境。","Dogon Seated Couple ""Barnes Foundation Master"" 18th–early is documented as a copper, iron alloy, wood work in the c. 18th-early 19th c period, associated with Africa. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (""Barnes Foundation Master"" - Seated couple - Dogon peoples).","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""\""Barnes Foundation Master\"" - Seated couple - Dogon peoples - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/310325"", ""tier"": 1, ""relevance"": 16, ""title_specific_relevance"": 6, ""author_relevance"": 9, ""meta_description"": """", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
4,africa-s005-i01,"Mother and Child, 15th–",c. 15th-20th c,"该展品在课程中对应为“Mother and Child, 15th–”，材质为Wood，作品生产时期记作c. 15th-20th c，并与Mali相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Gwandusu》，用于确认该件作品的对象层级信息与收藏/研究语境。","Mother and Child, 15th– is documented as a wood work in the c. 15th-20th c period, associated with Mali. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (Gwandusu). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""(title fetch failed)"", ""url"": ""https://www.metmuseum.org/-/media/files/learn/for-educators/publications-for-educators/the-arts-of-africa-at-the-metropolitan-museum.pdf"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_404""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Gwandusu - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/312336"", ""tier"": 1, ""relevance"": 3, ""title_specific_relevance"": 2, ""author_relevance"": 0, ""meta_description"": ""Bamana numu (blacksmith) | Figure | Bamana peoples | 15th–17th century"", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
5,africa-s006-i01,"Dogon Blacksmith ( Tintam village) Mali Priest with raised arms, 14 th -17 th century Wood, applied organic materials Th",c. 14th -17th c,"该展品在课程中对应为“Dogon Blacksmith ( Tintam village) Mali Priest with raised arms, 14 th -17 th century Wood, applied organic materials Th”，材质为Wood，作品生产时期记作c. 14th -17th c，并与Mali相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Priest with raised arms》，用于确认该件作品的对象层级信息与收藏/研究语境。","Dogon Blacksmith ( Tintam village) Mali Priest with raised arms, 14 th -17 th century Wood, applied organic materials Th is documented as a wood work in the c. 14th -17th c period, associated with Mali. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (Priest with raised arms). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Priest with raised arms - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/310765"", ""tier"": 1, ""relevance"": 17, ""title_specific_relevance"": 10, ""author_relevance"": 6, ""meta_description"": ""Dogon blacksmith | Figure | Dogon peoples | 14th–17th century"", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
6,africa-s007-i01,Power Figure ( Nkisi N'Kondi : Mangaaka,2008,"该展品在课程中对应为“Power Figure ( Nkisi N'Kondi : Mangaaka”，材质为Wood, Resin, Paint，作品生产时期记作2008，并与Democratic Republic of the Congo / Republic of the Congo / Angola相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Mangaaka Power Figure (Nkisi N’Kondi)》，用于确认该件作品的对象层级信息与收藏/研究语境。","Power Figure ( Nkisi N'Kondi : Mangaaka is documented as a wood, resin, paint work in the 2008 period, associated with Democratic Republic of the Congo / Republic of the Congo / Angola. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (Mangaaka Power Figure (Nkisi N’Kondi)). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Mangaaka Power Figure (Nkisi N’Kondi) - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/320053"", ""tier"": 1, ""relevance"": 17, ""title_specific_relevance"": 10, ""author_relevance"": 6, ""meta_description"": ""Yombe-Kongo artist and nganga (ritual specialist) | Power figure | Kongo peoples | ca. 1880–1900"", ""http_status"": ""http_200""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Yombe-Kongo artist and nganga (ritual specialist) - Mangaaka Power Figure (Nkisi N’Kondi) - Kongo peoples - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/320053"", ""tier"": 1, ""relevance"": 17, ""title_specific_relevance"": 10, ""author_relevance"": 6, ""meta_description"": ""The Met presents over 5,000 years of art from around the world for everyone to experience and enjoy."", ""http_status"": ""http_200""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""(title fetch failed)"", ""url"": ""https://www.metmuseum.org/art/collection/search/321109"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_404""}]",2,updated,updated,verified from existing linked sources (2 preferred reachable sources)
7,africa-s008-i01,"Mangaaka ), detail of slide before",2008,"该展品在课程中对应为“Mangaaka ), detail of slide before”，材质为Wood, Resin, Paint，作品生产时期记作2008，并与Democratic Republic of the Congo / Republic of the Congo / Angola相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Yombe-Kongo artist and nganga (ritual specialist) - Mangaaka Power Figure (Nkisi N’Kondi) - Kongo peoples》，用于确认该件作品的对象层级信息与收藏/研究语境。","Mangaaka ), detail of slide before is documented as a wood, resin, paint work in the 2008 period, associated with Democratic Republic of the Congo / Republic of the Congo / Angola. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (Yombe-Kongo artist and nganga (ritual specialist) - Mangaaka Power Figure (Nkisi N’Kondi) - Kongo peoples). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Yombe-Kongo artist and nganga (ritual specialist) - Mangaaka Power Figure (Nkisi N’Kondi) - Kongo peoples - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/320053"", ""tier"": 1, ""relevance"": 17, ""title_specific_relevance"": 10, ""author_relevance"": 6, ""meta_description"": ""The Met presents over 5,000 years of art from around the world for everyone to experience and enjoy."", ""http_status"": ""http_200""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Mangaaka Power Figure (Nkisi N’Kondi) - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/320053"", ""tier"": 1, ""relevance"": 17, ""title_specific_relevance"": 10, ""author_relevance"": 6, ""meta_description"": ""Yombe-Kongo artist and nganga (ritual specialist) | Power figure | Kongo peoples | ca. 1880–1900"", ""http_status"": ""http_200""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""(title fetch failed)"", ""url"": ""https://www.metmuseum.org/art/collection/search/321109"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_404""}]",2,updated,updated,verified from existing linked sources (2 preferred reachable sources)
8,africa-s009-i01,Royal Couple Late 19th–early,2014,"该展品在课程中对应为“Royal Couple Late 19th–early”，材质为Wood, Glass beads, Cowrie shells, Cloth/Textile，作品生产时期记作2014，并与Cameroon相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Throne of Njouteu》，用于确认该件作品的对象层级信息与收藏/研究语境。","Royal Couple Late 19th–early is documented as a wood, glass beads, cowrie shells, cloth/textile work in the 2014 period, associated with Cameroon. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (Throne of Njouteu). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Throne of Njouteu - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/635680"", ""tier"": 1, ""relevance"": 11, ""title_specific_relevance"": 4, ""author_relevance"": 6, ""meta_description"": ""Grassfields carver and master beader | Throne | Bamileke | Late 19th–early 20th century"", ""http_status"": ""http_200""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Throne of Njouteu - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/635680"", ""tier"": 1, ""relevance"": 11, ""title_specific_relevance"": 4, ""author_relevance"": 6, ""meta_description"": ""Grassfields carver and master beader | Throne | Bamileke | Late 19th–early 20th century"", ""http_status"": ""http_200""}]",2,updated,updated,verified from existing linked sources (2 preferred reachable sources)
9,africa-s010-i01,Iyoba,1910,"该展品在课程中对应为“Iyoba”，材质为Copper, Iron, Ivory，作品生产时期记作1910，并与Nigeria / Benin / London相关。该件作品主要在African Art语境下讨论，地域范围为Africa / Britain。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Ìgbèsànmwà (ivory- and wood- carving guild) artists - Pendant mask of Ìyọ́bà Idià - Edo peoples》，用于确认该件作品的对象层级信息与收藏/研究语境。","Iyoba is documented as a copper, iron, ivory work in the 1910 period, associated with Nigeria / Benin / London. The object is studied in a African Art context within Africa / Britain. A core verification source is The Metropolitan Museum of Art (Ìgbèsànmwà (ivory- and wood- carving guild) artists - Pendant mask of Ìyọ́bà Idià - Edo peoples).","[{""institution"": ""The British Museum"", ""title"": ""(title fetch failed)"", ""url"": ""https://www.britishmuseum.org/collection/object/E_Af1910-0513-1"", ""tier"": 1, ""relevance"": 0, ""title_specific_relevance"": 0, ""author_relevance"": 0, ""meta_description"": """", ""http_status"": ""http_403""}, {""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Ìgbèsànmwà (ivory- and wood- carving guild) artists - Pendant mask of Ìyọ́bà Idià - Edo peoples - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/318622"", ""tier"": 1, ""relevance"": 6, ""title_specific_relevance"": 2, ""author_relevance"": 3, ""meta_description"": """", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
11,africa-s011-i01,"El Anatsui, Old Man’s Cloth",2003,"该展品在课程中对应为“El Anatsui, Old Man’s Cloth”，材质为Aluminum, Copper wire, Copper, Cloth/Textile，作品生产时期记作2003，并与Sub-Saharan Africa相关。课程将其放在African Art语境中讨论，并与El Anatsui的实践或归属信息相联系。本次核对采用的核心来源之一为harn.ufl.edu页面《Recycled Sculpture Inspired by El Anatsui - Harn Museum of Art》，用于确认该件作品的对象层级信息与收藏/研究语境。","El Anatsui, Old Man’s Cloth is documented as a aluminum, copper wire, copper, cloth/textile work in the 2003 period, associated with Sub-Saharan Africa. The object is presented in the course under El Anatsui, within a African Art context. A core verification source is harn.ufl.edu (Recycled Sculpture Inspired by El Anatsui - Harn Museum of Art). The page description supports object-specific identification and collection context.","[{""institution"": ""harn.ufl.edu"", ""title"": ""Recycled Sculpture Inspired by El Anatsui - Harn Museum of Art"", ""url"": ""https://harn.ufl.edu/resources/recycled-sculpture-inspired-by-el-anatsui/"", ""tier"": 3, ""relevance"": 10, ""title_specific_relevance"": 4, ""author_relevance"": 6, ""meta_description"": ""Recycled Sculpture Inspired by El Anatsui El Anatsui is a Ghanaian sculptor who lives and works in Nigeria. He makes large-scale forms from bottle caps and wrappers woven together with..."", ""http_status"": ""http_200""}, {""institution"": ""elanatsui.art"", ""title"": ""El Anatsui | El Anatsui, Old Man’s Cloth, 2003"", ""url"": ""https://elanatsui.art/artworks/el-anatsui-old-mans-cloth-2003"", ""tier"": 4, ""relevance"": 12, ""title_specific_relevance"": 6, ""author_relevance"": 6, ""meta_description"": ""Metal; Wall hanging​; Aluminium and copper wire"", ""http_status"": ""http_200""}]",2,updated,updated,verified from existing linked sources (1 preferred reachable source)
12,africa-s012-i01,Tusk with Figurative Relief with details at right,1880–1890,该展品在课程中对应为“Tusk with Figurative Relief with details at right”，材质为Ivory，作品生产时期记作1880–1890，并与Democratic Republic of the Congo / Republic of the Congo / Angola相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Tusk with Figurative Relief》，用于确认该件作品的对象层级信息与收藏/研究语境。,"Tusk with Figurative Relief with details at right is documented as a ivory work in the 1880–1890 period, associated with Democratic Republic of the Congo / Republic of the Congo / Angola. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (Tusk with Figurative Relief). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Tusk with Figurative Relief - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/321237"", ""tier"": 1, ""relevance"": 15, ""title_specific_relevance"": 8, ""author_relevance"": 6, ""meta_description"": ""Vili-Kongo artist(s) | Tusk | Vili-Kongo peoples | ca. 1880–1890"", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
15,africa-s013-i01,Portuguese Figures,1991,该展品在课程中对应为“Portuguese Figures”，材质为Ivory，作品生产时期记作1991，并与Nigeria相关。该件作品主要在African Art语境下讨论，地域范围为Africa。本次核对采用的核心来源之一为The Metropolitan Museum of Art页面《Saltcellar with Portuguese Figures》，用于确认该件作品的对象层级信息与收藏/研究语境。,"Portuguese Figures is documented as a ivory work in the 1991 period, associated with Nigeria. The object is studied in a African Art context within Africa. A core verification source is The Metropolitan Museum of Art (Saltcellar with Portuguese Figures). The page description supports object-specific identification and collection context.","[{""institution"": ""The Metropolitan Museum of Art"", ""title"": ""Saltcellar with Portuguese Figures - The Metropolitan Museum of Art"", ""url"": ""https://www.metmuseum.org/art/collection/search/309900"", ""tier"": 1, ""relevance"": 9, ""title_specific_relevance"": 8, ""author_relevance"": 0, ""meta_description"": ""\""Master of the Heraldic Ship\"" | Saltcellar | Edo (Bini-Portuguese) | ca. 1525–1600"", ""http_status"": ""http_200""}]",1,updated,updated,verified from existing linked sources (1 preferred reachable source)
